"","Lipid.metabolism","Carbohydrate.metabolism","Glycan.biosynthesis.and.metabolism","Amino.acid.metabolism","Metabolism.of.cofactors.and.vitamins","Nucleotide.metabolism","Energy.metabolism","Metabolism.of.terpenoids.and.polyketides","Metabolism.of.other.amino.acids","Immune.system","Environmental.adaptation","Development.and.regeneration","Aging","Sensory.system","Folding..sorting.and.degradation","Translation","Replication.and.repair","Chromosome","Transcription","Information.processing.in.viruses","Cell.motility","Transport.and.catabolism","Cell.growth.and.death"
"Development.and.regeneration",-0.0360121817815994,-0.475725723787113,0.763380997799943,-0.0660891806792102,0.160333604248342,-0.195853540972477,-0.360454655295626,0.630540793491309,0.547724633164782,0.660699371556622,0.780163317144737,1,-0.150532598581534,0.787537963585056,0.588574966858079,0.618161928386257,0.973255206056369,0.9072669280669,0.967785642399873,0.956921086377485,-0.211597623747633,0.512058473387944,0.953730450096754
"Aging",0.558813021766579,0.537545715333782,0.189160041034559,0.668087784028645,0.560679623928968,0.611342345880368,0.109266373651443,0.301951548198004,0.35575506250129,-0.220127267955745,-0.397176041144537,-0.150532598581534,1,-0.101849092940056,0.490577820352599,0.267634742495143,-0.180173211861406,-0.122377796831996,-0.0665999988673899,-0.195890881662379,-0.0700052257994083,0.504052628659278,0.0158381125908689
"Sensory.system",-0.00639689846690551,-0.309157855765405,0.64834701043805,0.0213951638974825,0.205357419340692,-0.111074730232093,-0.225975065593507,0.520293698783247,0.522033189980098,0.492525046682678,0.606993253996568,0.787537963585056,-0.101849092940056,1,0.526883158382549,0.559904594011692,0.775113531941561,0.74182617268974,0.775672543459549,0.763855579175536,-0.0612668704848272,0.456111251885625,0.807707251106591
"Folding..sorting.and.degradation",0.487043570208734,0.174156315982597,0.932514199726998,0.681503476007338,0.792478261102782,0.49126236323205,-0.0665591647644558,0.804443452465358,0.890428684947085,0.183469673978774,0.118366761854545,0.588574966858079,0.490577820352599,0.526883158382549,1,0.882617466392003,0.555672365997634,0.601934123878591,0.715930161900029,0.482311709564181,-0.0801917965175972,0.964988540012964,0.736921404187966
"Translation",0.308753927569122,0.0120518136894073,0.869945508543238,0.574728625690276,0.728471218402786,0.467771461810559,-0.181992443561635,0.815583122954154,0.75789415650105,0.24217239807864,0.24186116020754,0.618161928386257,0.267634742495143,0.559904594011692,0.882617466392003,1,0.581860767842437,0.631032486968637,0.757276761806951,0.531411314235109,-0.00846524521134258,0.913413685666486,0.7540504312229
"Replication.and.repair",-0.118005766064478,-0.517347093987633,0.749912436773273,-0.0760710930339881,0.135738166121849,-0.155034266355738,-0.424802484977147,0.531713868340316,0.536296866975937,0.714184726686927,0.781813152752941,0.973255206056369,-0.180173211861406,0.775113531941561,0.555672365997634,0.581860767842437,1,0.920497622296833,0.962047705149334,0.949610463539178,-0.237544184662722,0.475653134196657,0.935033171698281
"Chromosome",-0.161905254043776,-0.530782213498882,0.764858615840254,-0.0291341535376076,0.157985268540823,0.0109813110690166,-0.551733193345312,0.47642146116213,0.521769447674324,0.808577413044398,0.777519929459824,0.9072669280669,-0.122377796831996,0.74182617268974,0.601934123878591,0.631032486968637,0.920497622296833,1,0.927029067029799,0.868616990900497,-0.4192151093788,0.518156973234336,0.904581866519403
"Transcription",0.0122074325507132,-0.40910850784325,0.867352684848766,0.0981821372286845,0.313802173498397,-0.0128869576951361,-0.375906104407322,0.672061994200118,0.654550668564065,0.643014728759117,0.702318076125495,0.967785642399873,-0.0665999988673899,0.775672543459549,0.715930161900029,0.757276761806951,0.962047705149334,0.927029067029799,1,0.917154252211356,-0.207361569357879,0.653563965189209,0.973701280344807
"Information.processing.in.viruses",-0.175293474942426,-0.550701910801665,0.665253613817098,-0.164647126018345,0.0580323211035136,-0.220684268393868,-0.44437018271958,0.543966282365871,0.391218691351322,0.723429247407845,0.850704800663199,0.956921086377485,-0.195890881662379,0.763855579175536,0.482311709564181,0.531411314235109,0.949610463539178,0.868616990900497,0.917154252211356,1,-0.229181866614977,0.383850388692917,0.916589885356859
"Cell.motility",0.228830008210498,0.355267956900863,-0.115612334347044,0.114743636039156,0.072082265303774,-0.208886617019278,0.611616384005802,0.223216377237161,0.0416059870124265,-0.646851488578397,-0.319485789100313,-0.211597623747633,-0.0700052257994083,-0.0612668704848272,-0.0801917965175972,-0.00846524521134258,-0.237544184662722,-0.4192151093788,-0.207361569357879,-0.229181866614977,1,-0.034335882677195,-0.179824158217772
"Transport.and.catabolism",0.572120222559459,0.281012575699303,0.893774961562616,0.777454201334122,0.863634353478647,0.578311868635917,-0.00940684097943243,0.802436787702499,0.864688258006742,0.0963905684896469,0.00896338590558006,0.512058473387944,0.504052628659278,0.456111251885625,0.964988540012964,0.913413685666486,0.475653134196657,0.518156973234336,0.653563965189209,0.383850388692917,-0.034335882677195,1,0.658720300034163
"Cell.growth.and.death",0.0297965740544667,-0.391448851789906,0.847251857441608,0.101441040949652,0.331450803037033,-0.0120438880096971,-0.362191386119105,0.719841079053804,0.675315445678926,0.613692799981475,0.710668636472604,0.953730450096754,0.0158381125908689,0.807707251106591,0.736921404187966,0.7540504312229,0.935033171698281,0.904581866519403,0.973701280344807,0.916589885356859,-0.179824158217772,0.658720300034163,1
